name	length	species	type	subtype	description	classification
Halyomorpha_halys-1_family-56	266	Halyomorpha_halys	SINE	tRNA	tRNA SINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;Unknown_LINE-dependent
Halyomorpha_halys-1_family-560	72	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-561	80	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-562	83	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-563	479	Halyomorpha_halys	LINE	R1	R1 LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup;R1
Halyomorpha_halys-1_family-564	243	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-565	66	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-566	204	Halyomorpha_halys	DNA	TcMar-Mariner	TcMar-Mariner DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
Halyomorpha_halys-1_family-567	112	Halyomorpha_halys	LINE	I	I LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;I
Halyomorpha_halys-1_family-568	142	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-569	184	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-57	230	Halyomorpha_halys	LINE	Penelope	Penelope LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Penelope-like_Elements
Halyomorpha_halys-1_family-570	153	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-571	128	Halyomorpha_halys	LTR	Gypsy	Long Terminal Repeat for an Gypsy endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
Halyomorpha_halys-1_family-572	252	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-573	114	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-574	93	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-575	134	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-576	104	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-577	156	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-578	216	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-579	87	Halyomorpha_halys	DNA	TcMar-Mariner	TcMar-Mariner DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
Halyomorpha_halys-1_family-58	317	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-580	138	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-581	214	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-582	79	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-583	159	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-584	60	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-585	415	Halyomorpha_halys	LINE	R1	R1 LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup;R1
Halyomorpha_halys-1_family-586	88	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-587	257	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-588	100	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-589	88	Halyomorpha_halys	DNA	TcMar-Mariner	TcMar-Mariner DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
Halyomorpha_halys-1_family-59	256	Halyomorpha_halys	LINE	Penelope	Penelope LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Penelope-like_Elements
Halyomorpha_halys-1_family-590	232	Halyomorpha_halys	LINE	I	I LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;I
Halyomorpha_halys-1_family-591	151	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-592	242	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-593	289	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-594	95	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-595	283	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-596	94	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-597	121	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-598	143	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-599	71	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-6	137	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-60	99	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-600	372	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-601	426	Halyomorpha_halys	LINE	I	I LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;I
Halyomorpha_halys-1_family-602	88	Halyomorpha_halys	LTR	Gypsy	Long Terminal Repeat for an Gypsy endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
Halyomorpha_halys-1_family-603	139	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-604	201	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-605	263	Halyomorpha_halys	LTR	Gypsy	Long Terminal Repeat for an Gypsy endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
Halyomorpha_halys-1_family-606	229	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-607	64	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-608	73	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-609	68	Halyomorpha_halys	LTR	Gypsy	Long Terminal Repeat for an Gypsy endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
Halyomorpha_halys-1_family-61	117	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-610	65	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-611	278	Halyomorpha_halys	LINE	L2	L2 LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;CR1-group;L2-group;L2
Halyomorpha_halys-1_family-612	78	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-613	112	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-614	109	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-615	52	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-616	94	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-617	187	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-618	68	Halyomorpha_halys	DNA	TcMar-Mariner	TcMar-Mariner DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
Halyomorpha_halys-1_family-619	450	Halyomorpha_halys	LINE	R1	R1 LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup;R1
Halyomorpha_halys-1_family-62	51	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-620	51	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-621	78	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-622	114	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-623	77	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-624	535	Halyomorpha_halys	LINE	RTE-RTE	RTE-RTE LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;RTE
Halyomorpha_halys-1_family-625	122	Halyomorpha_halys	DNA	Sola-2	Sola-2 DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Sola-group;Sola-2
Halyomorpha_halys-1_family-626	646	Halyomorpha_halys	LINE	I	I LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;I
Halyomorpha_halys-1_family-627	223	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-628	70	Halyomorpha_halys	DNA	hAT-Charlie	hAT-Charlie DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
Halyomorpha_halys-1_family-629	210	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-63	255	Halyomorpha_halys	LINE	Penelope	Penelope LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Penelope-like_Elements
Halyomorpha_halys-1_family-630	70	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-631	110	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-632	422	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-633	260	Halyomorpha_halys	LINE	I	I LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;I
Halyomorpha_halys-1_family-634	75	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-635	226	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-636	439	Halyomorpha_halys	LINE	I	I LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;I
Halyomorpha_halys-1_family-637	279	Halyomorpha_halys	LTR	Gypsy	Long Terminal Repeat for an Gypsy endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
Halyomorpha_halys-1_family-638	107	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-639	233	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-64	92	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-640	130	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-641	74	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-642	269	Halyomorpha_halys	LTR	Gypsy	Long Terminal Repeat for an Gypsy endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
Halyomorpha_halys-1_family-643	421	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-644	359	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-645	297	Halyomorpha_halys	LINE	I	I LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;I
Halyomorpha_halys-1_family-646	274	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-647	75	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-648	113	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-649	191	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-65	251	Halyomorpha_halys	LINE	Penelope	Penelope LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Penelope-like_Elements
Halyomorpha_halys-1_family-650	110	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-651	109	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-652	207	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-653	62	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-654	205	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-655	52	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-656	139	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-657	156	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-658	316	Halyomorpha_halys	LINE	R1-LOA	R1-LOA LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup;LOA
Halyomorpha_halys-1_family-659	142	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-66	87	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-660	54	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-661	70	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-662	185	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-663	131	Halyomorpha_halys	DNA	TcMar-Mariner	TcMar-Mariner DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
Halyomorpha_halys-1_family-664	105	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-665	88	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-666	54	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-667	64	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-668	755	Halyomorpha_halys	LINE	R1	R1 LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup;R1
Halyomorpha_halys-1_family-669	163	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-67	267	Halyomorpha_halys	LINE	Penelope	Penelope LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Penelope-like_Elements
Halyomorpha_halys-1_family-670	78	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-671	77	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-672	164	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-673	51	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-674	321	Halyomorpha_halys	LINE	R1	R1 LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup;R1
Halyomorpha_halys-1_family-675	483	Halyomorpha_halys	LINE	R1	R1 LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup;R1
Halyomorpha_halys-1_family-676	408	Halyomorpha_halys	LINE	L2	L2 LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;CR1-group;L2-group;L2
Halyomorpha_halys-1_family-677	342	Halyomorpha_halys	LINE	I-Jockey	I-Jockey LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;Jockey
Halyomorpha_halys-1_family-678	54	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-679	305	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-68	153	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-680	184	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-681	180	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-682	161	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-683	76	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-684	188	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-685	189	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-686	78	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-687	61	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-688	86	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-689	112	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-69	115	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-690	216	Halyomorpha_halys	DNA	TcMar-Mariner	TcMar-Mariner DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
Halyomorpha_halys-1_family-691	134	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-692	82	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-693	54	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-694	92	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-695	189	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-696	208	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-697	71	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-698	73	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-699	66	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-7	136	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-70	73	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-700	56	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-701	229	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-702	466	Halyomorpha_halys	LINE	R1	R1 LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup;R1
Halyomorpha_halys-1_family-703	52	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-704	56	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-705	75	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-706	274	Halyomorpha_halys	LINE	L2	L2 LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;CR1-group;L2-group;L2
Halyomorpha_halys-1_family-707	201	Halyomorpha_halys	DNA	TcMar-Mariner	TcMar-Mariner DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Mariner
Halyomorpha_halys-1_family-708	195	Halyomorpha_halys	LINE	I-Jockey	I-Jockey LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;Jockey
Halyomorpha_halys-1_family-709	113	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-71	890	Halyomorpha_halys	LINE	RTE-BovB	RTE-BovB LINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB
Halyomorpha_halys-1_family-710	78	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-711	253	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-712	57	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-713	66	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-714	248	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-715	63	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
Halyomorpha_halys-1_family-716	106	Halyomorpha_halys	Unknown	.	Repetitive element of unknown type	Interspersed_Repeat;Unknown
